fecha,estacion,comuna,mp25,estado_registro,nivel_calidad_aire,mes,dia_semana,mp25_dia_anterior,mp25_promedio_7d,temperatura_max,temperatura_min,temperatura_promedio,humedad_relativa,velocidad_viento,precipitacion,nivel_calidad_aire_dia_siguiente
2022-01-01,Puente Alto,Puente Alto,10.0,validado,buena,1,5,,,27.4,12.5,19.3,44,14.4,0.0,buena
2022-01-02,Puente Alto,Puente Alto,5.0,validado,buena,1,6,10.0,,28.2,12.6,19.8,50,13.6,0.0,buena
2022-01-03,Puente Alto,Puente Alto,7.0,validado,buena,1,0,5.0,,29.6,14.8,21.4,52,15.7,0.0,buena
2022-01-04,Puente Alto,Puente Alto,9.0,validado,buena,1,1,7.0,7.33,29.2,14.5,21.1,58,11.6,0.0,buena
2022-01-05,Puente Alto,Puente Alto,12.0,validado,buena,1,2,9.0,7.75,29.5,15.5,21.2,57,12.0,0.0,buena
2022-01-06,Puente Alto,Puente Alto,17.0,validado,buena,1,3,12.0,8.6,27.7,13.7,19.8,62,10.8,0.0,buena
2022-01-07,Puente Alto,Puente Alto,15.0,validado,buena,1,4,17.0,10.0,30.8,15.3,22.3,52,10.6,0.0,buena
2022-01-08,Puente Alto,Puente Alto,12.0,validado,buena,1,5,15.0,10.71,27.4,13.8,21.2,57,11.4,0.0,buena
2022-01-09,Puente Alto,Puente Alto,8.0,validado,buena,1,6,12.0,11.0,27.3,13.3,19.2,67,10.8,0.0,buena
2022-01-10,Puente Alto,Puente Alto,11.0,validado,buena,1,0,8.0,11.43,28.3,13.9,20.5,59,11.2,0.0,buena
2022-01-11,Puente Alto,Puente Alto,11.0,validado,buena,1,1,11.0,12.0,29.3,15.3,21.5,58,12.4,0.0,buena
2022-01-12,Puente Alto,Puente Alto,12.0,validado,buena,1,2,11.0,12.29,28.2,15.9,21.0,64,11.0,0.0,buena
2022-01-13,Puente Alto,Puente Alto,11.0,validado,buena,1,3,12.0,12.29,27.8,13.6,19.6,68,10.7,0.0,buena
2022-01-14,Puente Alto,Puente Alto,10.0,validado,buena,1,4,11.0,11.43,30.1,14.4,21.2,56,13.4,0.0,buena
2022-01-15,Puente Alto,Puente Alto,10.0,validado,buena,1,5,10.0,10.71,27.1,14.2,19.9,65,13.4,0.0,buena
2022-01-16,Puente Alto,Puente Alto,7.0,validado,buena,1,6,10.0,10.43,22.8,12.6,16.6,76,14.7,0.9,buena
2022-01-17,Puente Alto,Puente Alto,5.0,validado,buena,1,0,7.0,10.29,22.0,11.2,15.3,66,11.2,0.4,buena
2022-01-18,Puente Alto,Puente Alto,9.0,validado,buena,1,1,5.0,9.43,26.3,10.7,17.9,43,13.7,0.0,buena
2022-01-19,Puente Alto,Puente Alto,11.0,validado,buena,1,2,9.0,9.14,26.6,13.4,18.9,36,12.7,0.0,buena
2022-01-20,Puente Alto,Puente Alto,12.0,validado,buena,1,3,11.0,9.0,27.7,12.6,19.1,35,11.6,0.0,buena
2022-01-21,Puente Alto,Puente Alto,11.0,validado,buena,1,4,12.0,9.14,28.3,12.8,19.6,38,12.1,0.0,buena
2022-01-22,Puente Alto,Puente Alto,9.0,validado,buena,1,5,11.0,9.29,27.5,11.8,19.2,50,11.7,0.0,buena
2022-01-23,Puente Alto,Puente Alto,11.0,validado,buena,1,6,9.0,9.14,29.8,13.7,21.4,47,12.4,0.0,buena
2022-01-24,Puente Alto,Puente Alto,13.0,validado,buena,1,0,11.0,9.71,30.2,16.4,22.3,40,11.2,0.0,buena
