fecha,estacion,comuna,mp25,estado_registro,nivel_calidad_aire,mes,dia_semana,mp25_dia_anterior,mp25_promedio_7d,nivel_calidad_aire_dia_siguiente
2022-01-01,Puente Alto,Puente Alto,10.0,validado,buena,1,5,,,buena
2022-01-02,Puente Alto,Puente Alto,5.0,validado,buena,1,6,10.0,,buena
2022-01-03,Puente Alto,Puente Alto,7.0,validado,buena,1,0,5.0,,buena
2022-01-04,Puente Alto,Puente Alto,9.0,validado,buena,1,1,7.0,7.33,buena
2022-01-05,Puente Alto,Puente Alto,12.0,validado,buena,1,2,9.0,7.75,buena
2022-01-06,Puente Alto,Puente Alto,17.0,validado,buena,1,3,12.0,8.6,buena
2022-01-07,Puente Alto,Puente Alto,15.0,validado,buena,1,4,17.0,10.0,buena
2022-01-08,Puente Alto,Puente Alto,12.0,validado,buena,1,5,15.0,10.71,buena
2022-01-09,Puente Alto,Puente Alto,8.0,validado,buena,1,6,12.0,11.0,buena
2022-01-10,Puente Alto,Puente Alto,11.0,validado,buena,1,0,8.0,11.43,buena
2022-01-11,Puente Alto,Puente Alto,11.0,validado,buena,1,1,11.0,12.0,buena
2022-01-12,Puente Alto,Puente Alto,12.0,validado,buena,1,2,11.0,12.29,buena
2022-01-13,Puente Alto,Puente Alto,11.0,validado,buena,1,3,12.0,12.29,buena
2022-01-14,Puente Alto,Puente Alto,10.0,validado,buena,1,4,11.0,11.43,buena
2022-01-15,Puente Alto,Puente Alto,10.0,validado,buena,1,5,10.0,10.71,buena
2022-01-16,Puente Alto,Puente Alto,7.0,validado,buena,1,6,10.0,10.43,buena
2022-01-17,Puente Alto,Puente Alto,5.0,validado,buena,1,0,7.0,10.29,buena
2022-01-18,Puente Alto,Puente Alto,9.0,validado,buena,1,1,5.0,9.43,buena
2022-01-19,Puente Alto,Puente Alto,11.0,validado,buena,1,2,9.0,9.14,buena
2022-01-20,Puente Alto,Puente Alto,12.0,validado,buena,1,3,11.0,9.0,buena
2022-01-21,Puente Alto,Puente Alto,11.0,validado,buena,1,4,12.0,9.14,buena
2022-01-22,Puente Alto,Puente Alto,9.0,validado,buena,1,5,11.0,9.29,buena
2022-01-23,Puente Alto,Puente Alto,11.0,validado,buena,1,6,9.0,9.14,buena
2022-01-24,Puente Alto,Puente Alto,13.0,validado,buena,1,0,11.0,9.71,buena
2022-01-25,Puente Alto,Puente Alto,11.0,validado,buena,1,1,13.0,10.86,buena
2022-01-26,Puente Alto,Puente Alto,15.0,validado,buena,1,2,11.0,11.14,buena
2022-01-27,Puente Alto,Puente Alto,13.0,validado,buena,1,3,15.0,11.71,buena
2022-01-28,Puente Alto,Puente Alto,16.0,validado,buena,1,4,13.0,11.86,buena
2022-01-29,Puente Alto,Puente Alto,15.0,validado,buena,1,5,16.0,12.57,buena
2022-01-30,Puente Alto,Puente Alto,15.0,validado,buena,1,6,15.0,13.43,buena
2022-01-31,Puente Alto,Puente Alto,15.0,validado,buena,1,0,15.0,14.0,buena
2022-02-01,Puente Alto,Puente Alto,14.0,validado,buena,2,1,15.0,14.29,buena
2022-02-02,Puente Alto,Puente Alto,15.0,validado,buena,2,2,14.0,14.71,buena
2022-02-03,Puente Alto,Puente Alto,14.0,validado,buena,2,3,15.0,14.71,buena
2022-02-04,Puente Alto,Puente Alto,12.0,validado,buena,2,4,14.0,14.86,buena
2022-02-05,Puente Alto,Puente Alto,11.0,validado,buena,2,5,12.0,14.29,buena
2022-02-06,Puente Alto,Puente Alto,13.0,validado,buena,2,6,11.0,13.71,buena
2022-02-07,Puente Alto,Puente Alto,14.0,validado,buena,2,0,13.0,13.43,buena
2022-02-08,Puente Alto,Puente Alto,16.0,validado,buena,2,1,14.0,13.29,buena
2022-02-09,Puente Alto,Puente Alto,20.0,validado,buena,2,2,16.0,13.57,buena
2022-02-10,Puente Alto,Puente Alto,22.0,validado,buena,2,3,20.0,14.29,buena
2022-02-11,Puente Alto,Puente Alto,22.0,validado,buena,2,4,22.0,15.43,buena
2022-02-12,Puente Alto,Puente Alto,25.0,validado,buena,2,5,22.0,16.86,buena
2022-02-13,Puente Alto,Puente Alto,20.0,validado,buena,2,6,25.0,18.86,buena
2022-02-14,Puente Alto,Puente Alto,20.0,validado,buena,2,0,20.0,19.86,buena
2022-02-15,Puente Alto,Puente Alto,21.0,validado,buena,2,1,20.0,20.71,buena
2022-02-16,Puente Alto,Puente Alto,19.0,validado,buena,2,2,21.0,21.43,buena
2022-02-17,Puente Alto,Puente Alto,17.0,validado,buena,2,3,19.0,21.29,buena
2022-02-18,Puente Alto,Puente Alto,20.0,validado,buena,2,4,17.0,20.57,buena
2022-02-19,Puente Alto,Puente Alto,20.0,validado,buena,2,5,20.0,20.29,buena
2022-02-20,Puente Alto,Puente Alto,14.0,validado,buena,2,6,20.0,19.57,buena
2022-02-21,Puente Alto,Puente Alto,10.0,validado,buena,2,0,14.0,18.71,buena
2022-02-22,Puente Alto,Puente Alto,9.0,validado,buena,2,1,10.0,17.29,buena
2022-02-23,Puente Alto,Puente Alto,9.0,validado,buena,2,2,9.0,15.57,buena
2022-02-24,Puente Alto,Puente Alto,9.0,validado,buena,2,3,9.0,14.14,buena
2022-02-25,Puente Alto,Puente Alto,13.0,validado,buena,2,4,9.0,13.0,buena
2022-02-26,Puente Alto,Puente Alto,11.0,validado,buena,2,5,13.0,12.0,buena
2022-02-27,Puente Alto,Puente Alto,8.0,validado,buena,2,6,11.0,10.71,buena
2022-02-28,Puente Alto,Puente Alto,10.0,validado,buena,2,0,8.0,9.86,buena
2022-03-01,Puente Alto,Puente Alto,16.0,validado,buena,3,1,10.0,9.86,buena
2022-03-02,Puente Alto,Puente Alto,17.0,validado,buena,3,2,16.0,10.86,buena
2022-03-03,Puente Alto,Puente Alto,19.0,validado,buena,3,3,17.0,12.0,buena
2022-03-04,Puente Alto,Puente Alto,14.0,validado,buena,3,4,19.0,13.43,buena
2022-03-05,Puente Alto,Puente Alto,14.0,validado,buena,3,5,14.0,13.57,buena
2022-03-06,Puente Alto,Puente Alto,10.0,validado,buena,3,6,14.0,14.0,buena
2022-03-07,Puente Alto,Puente Alto,9.0,validado,buena,3,0,10.0,14.29,buena
2022-03-15,Puente Alto,Puente Alto,25.0,validado,buena,3,1,9.0,14.14,buena
2022-03-16,Puente Alto,Puente Alto,25.0,validado,buena,3,2,25.0,15.43,regular
2022-03-17,Puente Alto,Puente Alto,27.0,validado,regular,3,3,25.0,16.57,buena
2022-03-18,Puente Alto,Puente Alto,25.0,validado,buena,3,4,27.0,17.71,buena
2022-03-19,Puente Alto,Puente Alto,20.0,validado,buena,3,5,25.0,19.29,buena
2022-03-20,Puente Alto,Puente Alto,17.0,validado,buena,3,6,20.0,20.14,buena
2022-03-21,Puente Alto,Puente Alto,13.0,validado,buena,3,0,17.0,21.14,buena
2022-03-22,Puente Alto,Puente Alto,13.0,validado,buena,3,1,13.0,21.71,buena
2022-03-23,Puente Alto,Puente Alto,9.0,validado,buena,3,2,13.0,20.0,buena
2022-03-24,Puente Alto,Puente Alto,14.0,validado,buena,3,3,9.0,17.71,buena
2022-03-25,Puente Alto,Puente Alto,18.0,validado,buena,3,4,14.0,15.86,buena
