time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_max,precipitation_sum
2022-01-01,27.4,12.5,19.3,44,14.4,0.0
2022-01-02,28.2,12.6,19.8,50,13.6,0.0
2022-01-03,29.6,14.8,21.4,52,15.7,0.0
2022-01-04,29.2,14.5,21.1,58,11.6,0.0
2022-01-05,29.5,15.5,21.2,57,12.0,0.0
2022-01-06,27.7,13.7,19.8,62,10.8,0.0
2022-01-07,30.8,15.3,22.3,52,10.6,0.0
2022-01-08,27.4,13.8,21.2,57,11.4,0.0
2022-01-09,27.3,13.3,19.2,67,10.8,0.0
2022-01-10,28.3,13.9,20.5,59,11.2,0.0
2022-01-11,29.3,15.3,21.5,58,12.4,0.0
2022-01-12,28.2,15.9,21.0,64,11.0,0.0
2022-01-13,27.8,13.6,19.6,68,10.7,0.0
2022-01-14,30.1,14.4,21.2,56,13.4,0.0
2022-01-15,27.1,14.2,19.9,65,13.4,0.0
2022-01-16,22.8,12.6,16.6,76,14.7,0.9
2022-01-17,22.0,11.2,15.3,66,11.2,0.4
2022-01-18,26.3,10.7,17.9,43,13.7,0.0
2022-01-19,26.6,13.4,18.9,36,12.7,0.0
2022-01-20,27.7,12.6,19.1,35,11.6,0.0
2022-01-21,28.3,12.8,19.6,38,12.1,0.0
2022-01-22,27.5,11.8,19.2,50,11.7,0.0
2022-01-23,29.8,13.7,21.4,47,12.4,0.0
2022-01-24,30.2,16.4,22.3,40,11.2,0.0
2022-01-25,28.1,14.9,21.2,47,10.6,0.0
2022-01-26,27.6,14.1,19.6,62,9.9,0.0
2022-01-27,26.9,14.1,19.3,63,11.6,0.0
2022-01-28,27.6,13.0,18.8,67,11.7,0.0
2022-01-29,26.6,13.3,18.7,65,12.4,0.0
2022-01-30,27.4,12.0,19.0,67,12.5,0.0
2022-01-31,29.1,14.6,21.1,52,14.1,0.0
2022-02-01,27.0,15.1,20.1,51,13.6,0.0
2022-02-02,27.8,14.3,20.3,54,13.0,0.0
2022-02-03,26.1,12.6,18.9,63,11.9,0.0
2022-02-04,27.4,13.4,19.8,62,13.4,0.2
2022-02-05,29.2,15.3,22.3,47,10.4,0.0
2022-02-06,32.0,16.3,23.2,39,14.4,0.0
2022-02-07,29.1,16.1,21.8,50,11.7,0.0
2022-02-08,30.9,15.5,22.3,48,13.0,0.0
2022-02-09,29.1,14.9,21.7,51,11.8,0.0
2022-02-10,25.9,13.9,18.6,69,11.7,0.0
