FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220101;0000;10;;;
220102;0000;5;;;
220103;0000;7;;;
220104;0000;9;;;
220105;0000;12;;;
220106;0000;17;;;
220107;0000;15;;;
220108;0000;12;;;
220109;0000;8;;;
220110;0000;11;;;
220111;0000;11;;;
220112;0000;12;;;
220113;0000;11;;;
220114;0000;10;;;
220115;0000;10;;;
220116;0000;7;;;
220117;0000;5;;;
220118;0000;9;;;
220119;0000;11;;;
220120;0000;12;;;
220121;0000;11;;;
220122;0000;9;;;
220123;0000;11;;;
220124;0000;13;;;
220125;0000;11;;;
220126;0000;15;;;
220127;0000;13;;;
220128;0000;16;;;
220129;0000;15;;;
220130;0000;15;;;
220131;0000;15;;;
220201;0000;14;;;
220202;0000;15;;;
220203;0000;14;;;
220204;0000;12;;;
220205;0000;11;;;
220206;0000;13;;;
220207;0000;14;;;
220208;0000;16;;;
220209;0000;20;;;
220210;0000;22;;;
220211;0000;22;;;
220212;0000;25;;;
220213;0000;20;;;
220214;0000;20;;;
220215;0000;21;;;
220216;0000;19;;;
220217;0000;17;;;
220218;0000;20;;;
220219;0000;20;;;
220220;0000;14;;;
220221;0000;10;;;
220222;0000;9;;;
220223;0000;9;;;
220224;0000;9;;;
220225;0000;13;;;
220226;0000;11;;;
220227;0000;8;;;
220228;0000;10;;;
220301;0000;16;;;
220302;0000;17;;;
220303;0000;19;;;
220304;0000;14;;;
220305;0000;14;;;
220306;0000;10;;;
220307;0000;9;;;
220308;0000;;;;
220309;0000;;;;
220310;0000;;;;
220311;0000;;;;
220312;0000;;;;
220313;0000;;;;
220314;0000;;;;
220315;0000;25;;;
220316;0000;25;;;
220317;0000;27;;;
220318;0000;25;;;
220319;0000;20;;;
220320;0000;17;;;
220321;0000;13;;;
220322;0000;13;;;
220323;0000;9;;;
220324;0000;14;;;
220325;0000;18;;;
220326;0000;23;;;
220327;0000;23;;;
220328;0000;16;;;
220329;0000;16;;;
220330;0000;17;;;
220331;0000;13;;;
220401;0000;22;;;
220402;0000;19;;;
220403;0000;18;;;
220404;0000;18;;;
220405;0000;18;;;
220406;0000;16;;;
220407;0000;17;;;
220408;0000;18;;;
220409;0000;17;;;
220410;0000;15;;;
220411;0000;13;;;
220412;0000;17;;;
220413;0000;19;;;
220414;0000;18;;;
220415;0000;21;;;
220416;0000;41;;;
220417;0000;28;;;
220418;0000;30;;;
220419;0000;24;;;
220420;0000;24;;;
220421;0000;23;;;
220422;0000;18;;;
220423;0000;17;;;
220424;0000;14;;;
220425;0000;8;;;
220426;0000;5;;;
220427;0000;12;;;
220428;0000;27;;;
220429;0000;39;;;
220430;0000;29;;;
220501;0000;27;;;
220502;0000;28;;;
220503;0000;22;;;
220504;0000;25;;;
220505;0000;47;;;
220506;0000;57;;;
220507;0000;37;;;
220508;0000;29;;;
220509;0000;38;;;
220510;0000;36;;;
